name,online_order,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Woodee Pizza,Yes,3.7/5,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
Cafe Coffee Day,No,3.6/5,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari
My Tea House,Yes,3.6/5,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
Hide Out Cafe,No,3.7/5,31,Banashankari,Cafe,Cafe,300,Cafes,Banashankari
CAFE NOVA,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,Banashankari
Coffee Tindi,Yes,3.8/5,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari
Sea Green Cafe,No,3.3/5,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
Cuppa,No,3.3/5,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
Srinathji's Cafe,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
Redberrys,Yes,4.0/5,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari
Foodiction,Yes,2.8/5,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,,
 'RATED\n  not that much worth'), ('Rated 2.0', ('Rated 1.0'," """"RATED\n  Not good and gravy not sufficient really it's bad"""")", 'RATED\n  it was not worth the money'), ('Rated 4.0', ('Rated 3.0', 'RATED\n  one item wasnt delivered')," don't expect too much from this place.."""")", ('Rated 1.0'
Sweet Truth,Yes,3.9/5,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Ovenstory Pizza,Yes,3.9/5,172,Banashankari,Delivery,Pizza,750,Delivery,Banashankari
Faasos,Yes,4.2/5,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,,
 Will Recommend To Everyone.\n\nCheers!!'), ('Rated 5.0', ('Rated 5.0', 'RATED\n  The Navaratri special thali of faasos is amazing. It was really tasty. The thalli included paneer, potato, and 2 chapattis. Each and every bite was a bliss. Truly enjoyed this meal! \U0001f929'), 'RATED\n  Faasos is a perfect place to order some lip smacking fast food.\nI ordered Paneer steak , Veg jumbo roll and paneer cheesy roll.\nThey had Navratri Special Menu also which was a unique concept.\nPackaging was awesome.\nTaste was up to the mark.\nPaneer steak was amazing.\nWould Love to order from here again.'), ('Rated 4.5', 'RATED\n  FAASOS\n\nJumbo Chicken Wrap\n\nBhuna Chicken & Chicken Tikka Wrap\n\nJumbo Chicken Wrap:- The perfect taste of bhuna ( spicy ) chicken with the combination of mayo sauce
Behrouz Biryani,Yes,3.9/5,230,Banashankari,Delivery,Biryani,650,Delivery,Banashankari
Fast And Fresh,Yes,2.8/5,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
Szechuan Dragon,Yes,4.2/5,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari
Empire Restaurant,Yes,4.4/5,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,,
 'RATED\n  We enjoyed our dinner, grilled chicken was good, always a good experience, good support from staff. Try their kabab')," """"RATED\n  The food was good and the ambience was quite impressive too. The service also was up to the mark"," although I wanted to have the buffet but wasn't able to because I was 10 minutes late."""")"," """"RATED\n  Okay this review is mainly about the shaadi ka biryani (mutton). Lived the taste. We had taken a home delivery of this through zomatogold. No complaints on the service and delivery.\n\nOther than that"," been to empire a couple of times. Food depends on the day and the time I guess. Sometimes it's really good and at other times I have found hair in the food. And they do tend to make all the curries spicy."""")", Jayanagar, Bannerghatta Road
Maruthi Davangere Benne Dosa,Yes,4.0/5,17,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Chaatimes,Yes,3.8/5,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
Havyaka Mess,No,3.9/5,28,Banashankari,Mess,South Indian,300,Delivery,Banashankari
McDonald's,Yes,3.9/5,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari
Domino's Pizza,Yes,3.9/5,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari
Onesta,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,,
 and the crust was made amazing also so was the pizza.\nThe service is really good and the place is clean also. All in all wonderful place and another great restaurant part of the franchise.'), ('Rated 4.0', a mocktail and did i just hear unlimited desserts?!\nGoodbye midweek blues!!!?\n\nI would specially mention the staff here-Chaitanya,Arup and Binita serving us, never have i had such an experience.\nWhat really makes your food enjoyable is just not the taste but how the person served you!\n\nTop notch guys!!\nComing back for more-offer or no offer ! ?'), ('Rated 5.0', herbed wedges\n\n#rajeshwrites'), ('Rated 4.0', and off course pizzas .\nThey serve these tiny little desserts which look good . Personal favourite was cheese balls and fish fingers .\nI love the service here itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s quick even during the offers their service is pretty fast.'), ('Rated 5.0'
Hotboxit,No,3.8/5,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari
Kitchen Garden,Yes,3.6/5,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Recipe,Yes,4.0/5,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
Beijing Bites,Yes,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari
Tasty Bytes,Yes,3.1/5,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
Petoo,No,3.7/5,21,Banashankari,Quick Bites,North Indian,450,Delivery,Banashankari
Shree Cool Point,Yes,4.1/5,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
Corner House Ice Cream,No,4.3/5,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
Biryanis And More,Yes,4.0/5,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
Roving Feast,No,4.0/5,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
FreshMenu,Yes,3.9/5,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
Banashankari Donne Biriyani,Yes,3.8/5,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,Banashankari
Wamama,Yes,4.2/5,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,,
 ('Rated 4.0', 'RATED\n  Love the ambience! This is the place to go if youÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92re looking for authentic oriental food. They have special breakfast menu which is worth a try for everyone! And they make amazing cocktails :)'), 'RATED\n  First thing about this place is.. PAN Asian cuisine.. there are hardly any place which serves sushi etc in this part of Bangalore.. you can park your vehicle at BDA Complex parking.. and enjoy your evening peacefully.. ambiance is nice... food is delicious..\nwe tried veg dim sum platter, seafood sushi platter, yakisoba (buckwheat noodles), house wine, ('Rated 5.0', 'RATED\n  Amazing place! Must visit! Pocket friendly! Good food! Good ambience! Loved the overall experience! Tried dim sums, 'RATED\n  Amazing Asian food and even better place.Its so beautiful and pleasing to the eyes.Has good vibe,their must try would be the sushi
Five Star Chicken,No,3.6/5,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,Banashankari
XO Belgian Waffle,Yes,3.7/5,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,Banashankari
Peppy Peppers,No,4.2/5,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,,
 this was amazing, loved it, ('Rated 4.0'," """"RATED\n  PEPPY PEPPERS is a unit of jalsa banashankri. They have the best thin crust wood fired pizza. The ambience is good with full of white tables and chairs. The staff is friendly and quick at service.\nComing to food we tried peppy pepper fries large"," taste was just amazing and the crust was perfect later we ordered for peppy panner pizza where the taste was good but the crust was watery where we couldn't take and hold it in our hands.\nFully not satisfied nor fully not disappointed."""")", ('Rated 2.0', ('Rated 3.0', 'RATED\n  Went here for dinner on a Saturday night, so came here to try.\n\nWe got cheese balls, super large fries and Taiwanese baby corn for starters. The cheese balls were pretty good but they had given chili mayo as accompaniment which was just mayo mixed with chilli powder
Goa 0 Km,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
Chinese Kitchen,Yes,3.8/5,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,Banashankari
1947,No,4.0/5,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,Banashankari
Cake of the Day,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,Banashankari
Kabab Magic,Yes,4.1/5,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
Namma Brahmin's Idli,Yes,3.6/5,34,Jayanagar,Quick Bites,South Indian,100,Delivery,Banashankari
Gustoes Beer House,No,4.1/5,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery,Banashankari
Sugar Rush,No,3.8/5,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Burger King,Yes,3.2/5,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
The Good Bowl,Yes,3.6/5,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari
The Biryani Cafe,No,4.1/5,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari
Spicy Tandoor,No,NEW,0,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
LSD Cafe,No,2.9/5,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,,
 'RATED\n  Best Delivery Restaurants that serve late at night. Ordered #ChickenChanghezi and the quantity was sufficient for two person. It was delivered before time and it was absolute yummy. Will order again soon.. Pretty Soon'), ('Rated 5.0'," chicken chengezi and assorted breads. I was absolutely surprised at the quality of food at this point of day. I'd definitely recommend it to all my friends."""")", ('Rated 5.0', even Better Service in the middle of night #LSD Great Work. Best option for the night owls\nPS. Love the Pasta and garlic bread combo.'), ('Rated 4.0', well-cooked and packaged  \nFriendly delivery guys ,Two suggestions, 'RATED\n  Great food for nocturnes.with very courteous management..delivery is also fairly quick..my only suggestion is to please introduce online order\nThat will be a very wise step considering the demonetisation.\nAll in all great job ?'), ('Rated 4.0'
Rolls On Wheels,No,3.6/5,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari
Om Sri Vinayaka Chats,No,NEW,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,4.1/5,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,Banashankari
Devanna Dum Biriyani Centre,Yes,3.6/5,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
Kolbeh,No,3.7/5,22,Banashankari,Quick Bites,Fast Food,500,Delivery,Banashankari
Upahar Sagar,No,3.8/5,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Kadalu Sea Food Restaurant,Yes,3.8/5,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
Frozen Bottle,Yes,4.2/5,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
Parimala Sweets,No,3.5/5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari
Vaishali Deluxe,No,3.8/5,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Chill Out,No,,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery,Banashankari
The Big O Bakes,No,4.0/5,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Meghana Foods,Yes,4.4/5,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
Krishna Sagar,No,3.5/5,31,Banashankari,Quick Bites,North Indian,200,Delivery,Banashankari
Dessert Rose,No,3.5/5,7,Banashankari,Dessert Parlor,Desserts,500,Delivery,Banashankari
Chickpet Donne Biryani House,No,3.7/5,21,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
Me And My Cake,No,,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Sunsadm,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Annapooraneshwari Mess,No,,0,Banashankari,Mess,South Indian,200,Delivery,Banashankari
Thanco's Natural Ice Creams,No,3.2/5,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
Nandhini Deluxe,No,2.6/5,283,Banashankari,Casual Dining,North Indian,600,Delivery,Banashankari
Vi Ra's Bar and Restaurant,No,3.3/5,62,Banashankari,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
Kaggis,No,3.8/5,64,Banashankari,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari
Ayda Persian Kitchen,No,3.7/5,39,Banashankari,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari
Chatar Patar,No,3.7/5,65,Banashankari,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari
Polar Bear,Yes,3.8/5,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
Kidambi's Kitchen,No,3.5/5,52,Banashankari,Quick Bites,South Indian,300,Delivery,Banashankari
Mane Thindi,No,3.7/5,130,Banashankari,Quick Bites,South Indian,200,Delivery,Banashankari
Kotian Karavali Restaurant,No,3.5/5,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Floured-Baked With Love,No,3.8 /5,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
CAFE NOVA,No,3.2/5,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
Cakes & Slices,No,3.5/5,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Spice 9,No,3.4/5,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
Coffee Shopee,No,,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,No,3.2/5,9,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
Katriguppe Donne Biryani,No,3.2/5,4,Banashankari,Quick Bites,North Indian,300,Delivery,Banashankari
Hari Super Sandwich,No,NEW,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,Delivery,Banashankari
Atithi Point Ande Ka Funda,No,3.1/5,29,Banashankari,Quick Bites,North Indian,150,Delivery,Banashankari
Just Bake,No,3.4/5,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
Dharwad Line Bazaar Mishra Pedha,No,,0,Banashankari,Dessert Parlor,Mithai,150,Delivery,Banashankari
Cake Bite,No,,0,Banashankari,Bakery,Bakery,300,Delivery,Banashankari
Aarush's Food Plaza,No,,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Wood Stove,No,,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery,Banashankari
Kulfi & More,No,,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,Delivery,Banashankari
Kannadigas Karavali,No,,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,Delivery,Banashankari
K27 - The Pub,No,3.1/5,30,Banashankari,Bar,"Chinese, North Indian","1,000",Delivery,Banashankari
Bengaluru Coffee House,Yes,4.1/5,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
New Mangalore Lunch Home,No,3.3/5,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
Coffee Bytes,No,3.1/5,6,Banashankari,Quick Bites,"Fast Food, South Indian",100,Delivery,Banashankari
Parjanya Chat Zone,No,3.3/5,17,Banashankari,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,No,2.9/5,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
Soms Kitchen & Bakes,No,,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,Delivery,Banashankari
Banashankari Nati Style,No,,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,Delivery,Banashankari
Ruchi Maayaka,No,3.3/5,8,Banashankari,Delivery,South Indian,100,Delivery,Banashankari
Mohitesh Hut Roll,No,,0,Banashankari,Quick Bites,"Rolls, North Indian",150,Delivery,Banashankari
Sri Basaveshwar Jolada Rotti Oota,No,,0,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Roll Magic Fast Food,No,NEW,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,Delivery,Banashankari
Foodlieious Multi Cuisine,No,NEW,0,Banashankari,Quick Bites,North Indian,100,Delivery,Banashankari
Thanishka Nati And Karavali Style,No,NEW,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery,Banashankari
Swathi Cool Point,No,,0,Banashankari,Beverage Shop,"Beverages, Juices",200,Delivery,Banashankari
Kaumudis Juoice,No,,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,Delivery,Banashankari
Amma - Manae,No,,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Sri Sai Tiffannies,No,,0,Banashankari,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Hotel Andhra Speices,No,,0,Banashankari,Quick Bites,Andhra,250,Delivery,Banashankari
Sri Murari Family Restaurant,No,,0,Banashankari,Quick Bites,Biryani,250,Delivery,Banashankari
Aramane Donne Biriyani,No,,0,Banashankari,Quick Bites,"South Indian, Biryani",150,Delivery,Banashankari
Darkolates,No,,0,Banashankari,Confectionery,Desserts,200,Delivery,Banashankari
Swaada Healthy Kitchen,No,,0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350,Delivery,Banashankari
Gawdaru Mane Beriyani,No,,0,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Melting Melodies,No,NEW,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery,Banashankari
New Indraprasta,No,NEW,0,Banashankari,Quick Bites,"South Indian, Beverages",150,Delivery,Banashankari
Anna Kuteera,Yes,4.0/5,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
Darbar,No,3.0/5,98,Banashankari,Bar,"North Indian, Chinese",800,Delivery,Banashankari
Vijayalakshmi,Yes,3.9/5,47,Basavanagudi,Quick Bites,South Indian,200,Delivery,Banashankari
Sri Udupi Food Hub,Yes,4.1/5,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
Udupi Upahar,Yes,3.8/5,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
House Of Kebabs,Yes,3.8/5,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
Roll N Rock,Yes,3.8/5,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
BOX8- Desi Meals,Yes,4.1/5,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
KFC,Yes,3.8/5,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
Bitez,No,NEW,0,Banashankari,Quick Bites,Fast Food,100,Delivery,Banashankari
Roll Over,Yes,4.1/5,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
Imperial Restaurant,Yes,3.7/5,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
Lassi Shop,Yes,3.9/5,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
The Fortuna,Yes,3.0/5,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Wahab,Yes,3.7/5,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Al Diwan Biryanis And More,Yes,3.3/5,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
New Gowda's Fried Chicken,Yes,3.3/5,12,Banashankari,Quick Bites,Biryani,300,Delivery,Banashankari
Canton,Yes,3.6/5,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,Yes,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,Banashankari
The Blue Wagon - Kitchen,Yes,4.6/5,228,Jayanagar,Cafe,"Cafe, Beverages",400,Delivery,Banashankari
HOT COFFEE,Yes,4.1/5,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Patio 805,Yes,4.1/5,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese","1,200",Delivery,Banashankari
Lassi Corner,Yes,3.7/5,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Banashankari
Sagar Deluxe,Yes,3.2/5,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
Kanti Sweets,Yes,4.0/5,115,Banashankari,Sweet Shop,"Mithai, Street Food",400,Delivery,Banashankari
Vegetalia,Yes,3.7/5,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
Aramane Donne Biryani,Yes,3.5/5,57,Banashankari,Quick Bites,Biryani,200,Delivery,Banashankari
Ande Ka Funda,Yes,3.8/5,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
Cake Ghar,Yes,3.8/5,15,Basavanagudi,Bakery,Bakery,400,Delivery,Banashankari
Energy Addaa,Yes,4.2/5,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
Bhattara Bhojana,Yes,3.6/5,66,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Tandoori Knight,Yes,3.0/5,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
Dev Sagar - Food Street,Yes,4.1/5,233,Basavanagudi,Quick Bites,Street Food,200,Delivery,Banashankari
Mitraa Da Pizza,Yes,3.8/5,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,Banashankari
Paradise Premium,Yes,3.1/5,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
Grazers,Yes,3.9/5,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
Shakes Theory,Yes,4.5/5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari
@Italy,Yes,4.1/5,305,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,Banashankari
Chilli Flakes,Yes,3.6/5,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
Calcutta Cafe,Yes,3.5/5,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
